Image,Observation,Date,Exposure,Tip_Radius,Tip_Longitude,Base_Radius,Base_Longitude,Class,Phase
N1577828765b_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T21:09:57.025,1200,140313.96,169.944,140342.73,169.944,Complex,64.69826
N1577828765c_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T21:09:57.025,1200,140480.58,169.456,140560.66,168.947,Classic - bright head,64.69826
N1577832373_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T22:10:05.000,1200,140576.63,169.518,140559.25,169.554,Classic,65.04295
N1577832701_1.IMG,ISS_055RF_FMOVIE001_VIMS,2007-365T22:15:32.997,1200,0,0,140551.57,167.481,Complex,65.04295
N1577841885_1.IMG,ISS_055RF_FMOVIE001_VIMS,2008-001T00:48:36.933,1200,140378.79,170.419,140397.51,170.419,Extended Object,65.99461
N1577846477_1.IMG,ISS_055RF_FMOVIE001_VIMS,2008-001T02:05:08.900,1200,0,0,140551.41,171.534,Complex,66.49314
N1577848445a_1.IMG,ISS_055RF_FMOVIE001_VIMS,2008-001T02:37:56.886,1200,140537.97,171.979,-,-,Extended Object,66.70625
N1577848445b_1.IMG,ISS_055RF_FMOVIE001_VIMS,2008-001T02:37:56.886,1200,140547.42,171.322,-,-,Extended Object,66.70625
N1577857301_1.IMG,ISS_055RF_FMOVIE001_VIMS,2008-001T05:05:32.824,1200,140611.07,174.425,140580.29,174.605,Classic,67.70262
N1577857629_1.IMG,ISS_055RF_FMOVIE001_VIMS,2008-001T05:11:00.821,1200,140524.44,175.58,140536.68,175.546,Complex,67.75835
N1578389757_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T08:59:45.178,1000,140354.16,118.555,140326.08,118.646,Classic,19.20812
N1578395134_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T10:29:22.140,1000,140367.82,121.349,140331.8,121.55,Classic,19.62598
N1578398813_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T11:30:41.114,1000,140257.86,121.085,140336.25,120.975,Extended Object,19.87237
N1578399379_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T11:40:07.110,1000,140313.75,122.552,140350.98,122.53,Classic,19.95338
N1578403907_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T12:55:35.078,1000,140253.05,121.952,140338.42,121.802,Classic - bright head,20.23464
N1578405605_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T13:23:53.066,1000,140400.74,121.82,140362.63,121.948,Complex,20.35132
N1578406454_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T13:38:02.060,1000,140307.57,125.623,140344.85,125.496,Classic,20.46316
N1578409567a_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T14:29:55.038,1000,140224.66,122.814,140338.89,121.535,Classic - bright head,20.62079
N1578409567b_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T14:29:55.038,1000,140282.88,127.186,140336.83,122.247,Classic,20.69664
